<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AB.US,D,20050225,000000,21.844,22.061,21.638,22.061,634717,0
AB.US,D,20050228,000000,21.946,22.17,21.797,21.859,430533,0
AB.US,D,20050301,000000,21.975,22.146,21.801,21.85,521332,0
AB.US,D,20050302,000000,21.882,21.882,21.533,21.598,582000,0
AB.US,D,20050303,000000,21.587,21.819,21.571,21.659,223767,0
AB.US,D,20050304,000000,21.776,22.189,21.748,22.066,493361,0
AB.US,D,20050307,000000,21.975,22.403,21.929,22.216,646762,0
AB.US,D,20050308,000000,22.241,22.403,22.216,22.31,893553,0
AB.US,D,20050309,000000,22.193,22.399,22.137,22.236,316068,0
AB.US,D,20050310,000000,22.31,22.475,22.008,22.079,512505,0
AB.US,D,20050311,000000,22.193,22.193,21.869,21.983,438492,0
AB.US,D,20050314,000000,21.975,22.221,21.962,21.966,361892,0
AB.US,D,20050315,000000,21.979,22.389,21.979,22.17,341889,0
AB.US,D,20050316,000000,22.061,22.152,21.992,22.057,216018,0
AB.US,D,20050317,000000,21.966,22.013,21.496,21.759,834810,0
AB.US,D,20050318,000000,21.716,21.808,21.612,21.797,291752,0
AB.US,D,20050321,000000,21.842,21.842,21.566,21.785,292829,0
AB.US,D,20050322,000000,21.752,21.797,21.603,21.759,356948,0
AB.US,D,20050323,000000,21.566,21.571,21.192,21.406,313480,0
AB.US,D,20050324,000000,21.427,21.667,21.379,21.533,418052,0
AB.US,D,20050328,000000,21.488,21.759,21.406,21.621,558769,0
AB.US,D,20050329,000000,21.621,21.759,21.245,21.323,372437,0
AB.US,D,20050330,000000,21.218,21.659,21.218,21.581,338231,0
AB.US,D,20050331,000000,21.533,21.929,21.427,21.916,429237,0
AB.US,D,20050401,000000,21.933,22.193,21.716,21.842,509272,0
AB.US,D,20050404,000000,21.844,21.979,21.739,21.979,306385,0
AB.US,D,20050405,000000,21.979,22.119,21.862,22.074,423435,0
AB.US,D,20050406,000000,22.167,22.172,21.825,21.916,459367,0
AB.US,D,20050407,000000,21.821,22.057,21.733,22.02,185682,0
AB.US,D,20050408,000000,21.957,22.11,21.882,21.992,225485,0
AB.US,D,20050411,000000,21.899,22.016,21.618,21.716,561134,0
AB.US,D,20050412,000000,21.241,21.241,19.682,20.731,5612395,0
AB.US,D,20050413,000000,20.547,20.757,20.334,20.719,1142702,0
AB.US,D,20050414,000000,20.699,20.934,20.487,20.752,817601,0
AB.US,D,20050415,000000,20.636,20.8,20.296,20.347,736055,0
AB.US,D,20050418,000000,20.378,20.808,20.233,20.433,1068906,0
AB.US,D,20050419,000000,20.8,21.147,20.768,21.037,1119897,0
AB.US,D,20050420,000000,21.106,21.152,20.868,21.028,1001778,0
AB.US,D,20050421,000000,21.028,21.095,20.914,21.008,788342,0
AB.US,D,20050422,000000,21.012,21.012,20.868,20.931,479589,0
AB.US,D,20050425,000000,20.942,21.333,20.914,21.333,421494,0
AB.US,D,20050426,000000,21.286,21.374,20.952,20.971,525634,0
AB.US,D,20050427,000000,20.914,21.3,20.909,21.078,583292,0
AB.US,D,20050428,000000,20.984,21.171,20.962,21.152,348555,0
AB.US,D,20050429,000000,20.914,20.988,20.621,20.886,757569,0
AB.US,D,20050502,000000,20.914,20.962,20.659,20.881,412887,0
AB.US,D,20050503,000000,20.788,20.843,20.229,20.347,1214350,0
AB.US,D,20050504,000000,20.233,20.909,20.146,20.909,722933,0
AB.US,D,20050505,000000,20.559,20.808,20.453,20.681,549084,0
AB.US,D,20050506,000000,20.636,20.958,20.636,20.909,381479,0
AB.US,D,20050509,000000,20.914,21.031,20.909,20.984,188050,0
AB.US,D,20050510,000000,20.681,21.031,20.681,21.012,436558,0
AB.US,D,20050511,000000,21.031,21.089,20.868,20.914,457855,0
AB.US,D,20050512,000000,20.914,21.082,20.8,20.879,495939,0
AB.US,D,20050513,000000,20.868,20.958,20.501,20.757,348986,0
AB.US,D,20050516,000000,20.805,21.295,20.772,21.142,381692,0
AB.US,D,20050517,000000,21.049,21.272,20.859,21.127,357371,0
AB.US,D,20050518,000000,21.234,21.282,20.984,21.147,591896,0
AB.US,D,20050519,000000,21.218,21.241,21.037,21.123,455276,0
AB.US,D,20050520,000000,21.194,21.241,20.971,21.078,450110,0
AB.US,D,20050523,000000,20.984,21.123,20.926,21.123,284651,0
AB.US,D,20050524,000000,21.008,21.306,20.914,21.123,449035,0
AB.US,D,20050525,000000,21.016,21.078,20.896,20.971,182450,0
AB.US,D,20050526,000000,21.037,21.218,20.868,21.049,218167,0
AB.US,D,20050527,000000,20.934,21.045,20.817,21.016,188050,0
AB.US,D,20050531,000000,21.037,21.123,20.805,21.102,301864,0
AB.US,D,20050601,000000,21.059,21.603,21.059,21.458,313480,0
AB.US,D,20050602,000000,21.427,21.552,21.379,21.523,182026,0
AB.US,D,20050603,000000,21.496,21.621,21.319,21.427,211288,0
AB.US,D,20050606,000000,21.458,21.638,21.417,21.638,157499,0
AB.US,D,20050607,000000,21.705,22.115,21.638,22.105,424283,0
AB.US,D,20050608,000000,22.098,22.167,21.691,21.785,359103,0
AB.US,D,20050609,000000,21.776,21.962,21.752,21.771,139209,0
AB.US,D,20050610,000000,21.748,21.759,21.326,21.575,279918,0
AB.US,D,20050613,000000,21.566,21.677,21.291,21.523,240553,0
AB.US,D,20050614,000000,21.473,21.612,21.393,21.427,366845,0
AB.US,D,20050615,000000,21.427,21.467,21.142,21.18,219889,0
AB.US,D,20050616,000000,21.171,21.265,21.171,21.241,359314,0
AB.US,D,20050617,000000,21.282,21.315,21.123,21.194,203108,0
AB.US,D,20050620,000000,21.152,21.194,21.102,21.123,137703,0
AB.US,D,20050621,000000,21.147,21.186,21.089,21.135,343391,0
AB.US,D,20050622,000000,21.114,21.365,21.078,21.315,268088,0
AB.US,D,20050623,000000,21.286,21.561,21.286,21.379,356948,0
AB.US,D,20050624,000000,21.333,21.427,21.059,21.39,297564,0
AB.US,D,20050627,000000,21.333,21.451,21.3,21.39,225058,0
AB.US,D,20050628,000000,21.451,21.618,21.306,21.612,280781,0
AB.US,D,20050629,000000,21.612,21.765,21.581,21.701,430533,0
AB.US,D,20050630,000000,21.752,21.957,21.716,21.723,541119,0
AB.US,D,20050701,000000,21.705,21.819,21.612,21.664,215804,0
AB.US,D,20050705,000000,21.78,21.936,21.776,21.924,484540,0
AB.US,D,20050706,000000,21.785,22.008,21.575,21.797,626110,0
AB.US,D,20050707,000000,21.793,21.821,21.585,21.821,238827,0
AB.US,D,20050708,000000,21.821,22.029,21.705,21.992,430320,0
AB.US,D,20050711,000000,22.02,22.31,22.02,22.262,382765,0
AB.US,D,20050712,000000,22.262,22.31,21.969,22.013,298209,0
AB.US,D,20050713,000000,21.962,22.305,21.793,22.17,437199,0
AB.US,D,20050714,000000,22.17,22.31,22.161,22.193,325322,0
AB.US,D,20050715,000000,22.17,22.17,21.924,21.946,252385,0
AB.US,D,20050718,000000,21.962,22.029,21.728,21.962,213867,0
AB.US,D,20050719,000000,21.962,22.445,21.962,22.224,396752,0
AB.US,D,20050720,000000,22.193,22.357,22.119,22.332,177291,0
AB.US,D,20050721,000000,22.377,22.426,22.146,22.29,226134,0
AB.US,D,20050722,000000,22.362,22.475,22.216,22.468,276479,0
AB.US,D,20050725,000000,22.463,22.491,22.31,22.426,160941,0
AB.US,D,20050726,000000,22.373,22.448,22.262,22.403,241837,0
AB.US,D,20050727,000000,21.612,21.844,21.451,21.451,820396,0
AB.US,D,20050728,000000,21.518,21.612,21.031,21.269,835242,0
AB.US,D,20050729,000000,21.36,21.435,21.123,21.16,217307,0
AB.US,D,20050801,000000,21.207,21.482,21.175,21.435,268949,0
AB.US,D,20050802,000000,21.379,21.65,21.379,21.587,443658,0
AB.US,D,20050803,000000,21.365,21.365,21.008,21.147,213218,0
AB.US,D,20050804,000000,21.031,21.031,20.805,20.876,374586,0
AB.US,D,20050805,000000,20.856,20.881,20.289,20.659,488197,0
AB.US,D,20050808,000000,20.646,21.049,20.646,20.966,344467,0
AB.US,D,20050809,000000,21.012,21.241,20.984,21.147,221184,0
AB.US,D,20050810,000000,21.379,21.429,21.245,21.404,364909,0
AB.US,D,20050811,000000,21.356,21.65,21.339,21.612,405360,0
AB.US,D,20050812,000000,21.544,21.612,21.417,21.587,185898,0
AB.US,D,20050815,000000,21.612,21.612,21.499,21.566,173415,0
AB.US,D,20050816,000000,21.659,21.659,21.333,21.406,260985,0
AB.US,D,20050817,000000,21.333,21.482,21.306,21.365,362109,0
AB.US,D,20050818,000000,21.286,21.311,21.045,21.147,226351,0
AB.US,D,20050819,000000,21.142,21.26,21.042,21.192,178798,0
AB.US,D,20050822,000000,21.195,21.374,21.194,21.315,514232,0
AB.US,D,20050823,000000,21.286,21.427,21.26,21.315,208918,0
AB.US,D,20050824,000000,21.311,21.379,21.222,21.323,287877,0
AB.US,D,20050825,000000,21.265,21.265,21.037,21.102,327041,0
AB.US,D,20050826,000000,21.112,21.147,21.004,21.059,212583,0
AB.US,D,20050829,000000,20.984,21.031,20.688,21.004,300576,0
AB.US,D,20050830,000000,20.962,21.012,20.671,20.676,547357,0
AB.US,D,20050831,000000,20.681,20.743,20.343,20.553,398473,0
AB.US,D,20050901,000000,20.368,20.845,20.309,20.529,445375,0
AB.US,D,20050902,000000,20.559,20.636,20.45,20.533,226779,0
AB.US,D,20050906,000000,20.533,20.881,20.496,20.805,522614,0
AB.US,D,20050907,000000,20.772,20.845,20.681,20.845,583513,0
AB.US,D,20050908,000000,20.843,20.845,20.681,20.731,392234,0
AB.US,D,20050909,000000,20.713,20.731,20.605,20.617,270456,0
AB.US,D,20050912,000000,20.542,20.617,20.406,20.492,420629,0
AB.US,D,20050913,000000,20.409,20.651,20.363,20.533,348774,0
AB.US,D,20050914,000000,20.583,21.44,20.583,21.241,1050833,0
AB.US,D,20050915,000000,21.265,21.356,21.142,21.147,509272,0
AB.US,D,20050916,000000,21.147,21.427,21.14,21.351,288099,0
AB.US,D,20050919,000000,21.291,21.345,21.194,21.265,293691,0
AB.US,D,20050920,000000,21.194,21.488,21.152,21.2,339950,0
AB.US,D,20050921,000000,21.147,21.171,20.704,20.777,727022,0
AB.US,D,20050922,000000,20.752,20.914,20.671,20.777,518318,0
AB.US,D,20050923,000000,20.704,20.734,20.636,20.681,212151,0
AB.US,D,20050926,000000,20.681,21.037,20.646,20.819,261628,0
AB.US,D,20050927,000000,20.731,21.031,20.688,21.031,284439,0
AB.US,D,20050928,000000,21.031,21.326,21.031,21.232,429672,0
AB.US,D,20050929,000000,21.323,22.123,21.306,22.004,605882,0
AB.US,D,20050930,000000,22.004,22.294,21.85,22.241,433117,0
AB.US,D,20051003,000000,22.31,22.315,22.146,22.262,348555,0
AB.US,D,20051004,000000,22.282,22.357,22.079,22.079,606094,0
AB.US,D,20051005,000000,22.079,22.079,21.561,21.664,685492,0
AB.US,D,20051006,000000,21.638,21.869,21.552,21.598,247862,0
AB.US,D,20051007,000000,21.518,21.696,21.429,21.523,365335,0
AB.US,D,20051010,000000,21.696,21.962,21.451,21.895,223767,0
AB.US,D,20051011,000000,21.797,22.328,21.748,22.262,676889,0
AB.US,D,20051012,000000,22.212,22.216,21.752,21.853,370504,0
AB.US,D,20051013,000000,21.808,21.936,21.379,21.882,388141,0
AB.US,D,20051014,000000,21.821,22.17,21.797,21.92,426443,0
AB.US,D,20051017,000000,21.92,22.319,21.92,22.305,623955,0
AB.US,D,20051018,000000,22.319,22.357,21.946,22.054,225485,0
AB.US,D,20051019,000000,21.821,22.357,21.566,22.357,314564,0
AB.US,D,20051020,000000,22.262,22.403,21.801,22.004,257111,0
AB.US,D,20051021,000000,22.074,22.262,21.924,22.193,223767,0
AB.US,D,20051024,000000,22.197,22.426,22.133,22.406,475283,0
AB.US,D,20051025,000000,22.338,22.532,22.216,22.393,183528,0
AB.US,D,20051026,000000,22.393,22.876,22.377,22.662,375232,0
AB.US,D,20051027,000000,23.237,23.882,23.199,23.566,790704,0
AB.US,D,20051028,000000,23.417,24.075,23.355,23.776,671506,0
AB.US,D,20051031,000000,24.702,25,24.32,24.601,1205528,0
AB.US,D,20051101,000000,24.601,25.083,24.601,24.805,774141,0
AB.US,D,20051102,000000,24.867,25.373,24.867,25.232,890542,0
AB.US,D,20051103,000000,24.563,25,24.54,24.749,615993,0
AB.US,D,20051104,000000,24.621,25.21,24.621,25.131,696467,0
AB.US,D,20051107,000000,25.099,25.552,25.007,25.269,422784,0
AB.US,D,20051108,000000,25.099,25.382,25.052,25.308,388789,0
AB.US,D,20051109,000000,25.214,25.33,25.125,25.172,212151,0
AB.US,D,20051110,000000,24.894,25.279,24.469,25.274,501106,0
AB.US,D,20051111,000000,25.157,25.261,24.968,25.146,294762,0
AB.US,D,20051114,000000,25.146,25.442,24.867,25.378,547579,0
AB.US,D,20051115,000000,25.261,25.308,24.74,24.843,379111,0
AB.US,D,20051116,000000,24.657,24.825,24.633,24.727,229575,0
AB.US,D,20051117,000000,24.842,25.052,24.786,25.052,317571,0
