<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABB.US,D,20050225,000000,3.9797,4.0429,3.9727,4.0009,359822,0
ABB.US,D,20050228,000000,4.0711,4.0711,3.9656,4.0009,602594,0
ABB.US,D,20050301,000000,4.0361,4.0711,4.0289,4.0572,461936,0
ABB.US,D,20050302,000000,4.0572,4.0782,4.0289,4.05,270362,0
ABB.US,D,20050303,000000,4.0922,4.1414,4.0711,4.1062,1084724,0
ABB.US,D,20050304,000000,4.1906,4.2047,4.1414,4.1906,677119,0
ABB.US,D,20050307,000000,4.1414,4.1414,4.0852,4.1414,516122,0
ABB.US,D,20050308,000000,4.1484,4.2399,4.1062,4.1696,315164,0
ABB.US,D,20050309,000000,4.1204,4.1274,4.0711,4.1134,310471,0
ABB.US,D,20050310,000000,4.1554,4.1766,4.1062,4.1766,677403,0
ABB.US,D,20050311,000000,4.2047,4.2399,4.1554,4.1696,371484,0
ABB.US,D,20050314,000000,4.1414,4.1626,4.0922,4.1414,247464,0
ABB.US,D,20050315,000000,4.1134,4.1134,4.0711,4.0711,173935,0
ABB.US,D,20050316,000000,4.1484,4.2047,4.1062,4.1343,1301331,0
ABB.US,D,20050317,000000,4.0782,4.0852,4.0429,4.0711,1212867,0
ABB.US,D,20050318,000000,4.0289,4.0572,4.0079,4.0429,341758,0
ABB.US,D,20050321,000000,4.2609,4.3031,4.2258,4.282,1998359,0
ABB.US,D,20050322,000000,4.2609,4.282,4.1978,4.2328,2609058,0
ABB.US,D,20050323,000000,4.2047,4.275,4.1766,4.2399,3715257,0
ABB.US,D,20050324,000000,4.1696,4.1978,4.1484,4.1696,741829,0
ABB.US,D,20050328,000000,4.1906,4.2047,4.1204,4.1626,701437,0
ABB.US,D,20050329,000000,4.1134,4.1414,4.0711,4.0852,2159068,0
ABB.US,D,20050330,000000,4.0711,4.1626,4.0711,4.1414,1198502,0
ABB.US,D,20050331,000000,4.1343,4.1343,4.0641,4.0711,340762,0
ABB.US,D,20050401,000000,4.0922,4.1062,4.0289,4.0429,357688,0
ABB.US,D,20050404,000000,4.0218,4.0711,3.9868,4.0572,437759,0
