<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABBV.US,D,20130104,000000,25.377,25.576,25.108,25.207,29157850,0
ABBV.US,D,20130107,000000,25.031,25.985,25.031,25.259,24416470,0
ABBV.US,D,20130108,000000,25.136,25.394,24.454,24.711,24370604,0
ABBV.US,D,20130109,000000,24.631,24.884,24.631,24.85,25649023,0
ABBV.US,D,20130110,000000,24.439,24.921,24.433,24.921,21363844,0
ABBV.US,D,20130111,000000,24.913,25.143,24.735,25.109,15088593,0
ABBV.US,D,20130114,000000,25.227,25.403,25.069,25.284,15619062,0
ABBV.US,D,20130115,000000,25.002,25.755,25.002,25.665,17584363,0
ABBV.US,D,20130116,000000,25.643,26.359,25.553,26.359,22262823,0
ABBV.US,D,20130117,000000,26.518,27.223,26.518,27.014,19449853,0
ABBV.US,D,20130118,000000,27.021,27.681,26.729,27.681,24057896,0
ABBV.US,D,20130122,000000,27.426,27.63,26.648,27.014,21315001,0
ABBV.US,D,20130123,000000,27.378,28.064,27.073,28.037,14805944,0
ABBV.US,D,20130124,000000,28.029,28.572,27.613,27.786,15272085,0
ABBV.US,D,20130125,000000,27.829,28.064,27.175,27.889,12051363,0
ABBV.US,D,20130128,000000,27.956,28.088,27.229,27.361,9626368,0
ABBV.US,D,20130129,000000,27.229,27.786,26.889,27.674,11917022,0
ABBV.US,D,20130130,000000,27.303,27.835,27.303,27.395,14618073,0
ABBV.US,D,20130131,000000,27.324,27.395,26.903,27.213,14453821,0
ABBV.US,D,20130201,000000,27.324,27.591,27.087,27.577,12845952,0
ABBV.US,D,20130204,000000,27.175,27.665,27.11,27.652,8558422,0
ABBV.US,D,20130205,000000,27.755,27.984,27.577,27.591,9821385,0
ABBV.US,D,20130206,000000,27.413,27.652,27.338,27.548,7737328,0
ABBV.US,D,20130207,000000,27.868,27.868,26.55,27.014,13312027,0
ABBV.US,D,20130208,000000,26.975,27.014,26.576,26.889,18684920,0
ABBV.US,D,20130211,000000,26.798,26.835,26.518,26.592,8132574,0
ABBV.US,D,20130212,000000,26.531,26.629,26.108,26.27,10076625,0
ABBV.US,D,20130213,000000,26.27,26.382,26.071,26.159,6552448,0
ABBV.US,D,20130214,000000,25.998,27.242,25.968,27.125,10206141,0
ABBV.US,D,20130215,000000,27.395,28.046,27.395,27.874,17926799,0
ABBV.US,D,20130219,000000,27.771,28.43,27.524,28.325,11180314,0
ABBV.US,D,20130220,000000,28.305,29.023,27.896,28.639,10915680,0
ABBV.US,D,20130221,000000,28.549,28.949,28.325,28.766,9789651,0
ABBV.US,D,20130222,000000,28.6,28.814,28.287,28.526,6054659,0
ABBV.US,D,20130225,000000,28.584,28.639,27.719,27.719,6290378,0
ABBV.US,D,20130226,000000,27.889,27.889,27.413,27.509,6017047,0
ABBV.US,D,20130227,000000,27.42,27.426,26.997,27.242,16500209,0
ABBV.US,D,20130228,000000,27.192,27.548,27.073,27.387,13917058,0
ABBV.US,D,20130301,000000,27.296,28.238,27.11,28.046,12038816,0
ABBV.US,D,20130304,000000,27.835,28.37,27.835,28.363,7308354,0
ABBV.US,D,20130305,000000,28.519,28.607,27.656,27.823,8966116,0
ABBV.US,D,20130306,000000,27.858,28.082,27.719,27.992,7401353,0
ABBV.US,D,20130307,000000,27.925,28.191,27.771,27.807,5989385,0
ABBV.US,D,20130308,000000,27.917,27.925,27.565,27.696,5547206,0
ABBV.US,D,20130311,000000,27.63,28.296,27.502,27.941,6221186,0
ABBV.US,D,20130312,000000,27.962,28.408,27.484,27.57,8795869,0
ABBV.US,D,20130313,000000,27.591,27.881,27.475,27.57,5002592,0
ABBV.US,D,20130314,000000,27.763,27.881,27.338,27.858,13299614,0
ABBV.US,D,20130315,000000,27.771,28.584,27.652,28.557,16460286,0
ABBV.US,D,20130318,000000,28.224,28.549,28.176,28.305,6982585,0
ABBV.US,D,20130319,000000,28.37,28.482,28.064,28.451,6887272,0
ABBV.US,D,20130320,000000,28.557,29.068,28.489,28.97,9536361,0
ABBV.US,D,20130321,000000,28.792,28.905,28.54,28.549,6388105,0
ABBV.US,D,20130322,000000,28.607,28.905,28.408,28.905,4480599,0
ABBV.US,D,20130325,000000,29.017,29.31,28.875,29.163,8176909,0
ABBV.US,D,20130326,000000,29.352,30.054,29.352,29.823,9773955,0
ABBV.US,D,20130327,000000,29.83,29.886,29.416,29.782,5764050,0
ABBV.US,D,20130328,000000,29.864,30.262,29.506,30.249,9794521,0
ABBV.US,D,20130401,000000,29.639,30.514,29.639,30.502,7738706,0
ABBV.US,D,20130402,000000,30.573,30.573,30.054,30.197,7429573,0
ABBV.US,D,20130403,000000,30.223,30.745,29.926,30.091,5557956,0
ABBV.US,D,20130404,000000,30.24,30.988,30.128,30.856,27891920,0
ABBV.US,D,20130405,000000,30.639,30.781,30.476,30.639,18998792,0
ABBV.US,D,20130408,000000,30.611,31.056,30.462,30.981,22177251,0
ABBV.US,D,20130409,000000,31.122,32.311,31.004,31.562,11695413,0
ABBV.US,D,20130410,000000,31.63,32.463,31.521,32.354,10530003,0
ABBV.US,D,20130411,000000,32.503,32.721,32.271,32.337,8675601,0
ABBV.US,D,20130412,000000,32.167,32.407,31.906,32.254,5613649,0
ABBV.US,D,20130415,000000,32.092,32.212,30.998,31.021,9555605,0
ABBV.US,D,20130416,000000,31.193,31.837,30.789,31.775,9349845,0
ABBV.US,D,20130417,000000,31.546,31.76,31.007,31.624,6741123,0
ABBV.US,D,20130418,000000,31.718,31.919,31.36,31.679,6691293,0
ABBV.US,D,20130419,000000,31.823,31.875,31.588,31.735,8674191,0
ABBV.US,D,20130422,000000,32.186,33.558,32.098,33.088,11397104,0
ABBV.US,D,20130423,000000,33.395,34.675,33.236,33.792,12527857,0
ABBV.US,D,20130424,000000,33.792,33.942,32.894,33.178,7403191,0
ABBV.US,D,20130425,000000,33.351,33.528,32.757,33.114,6995917,0
ABBV.US,D,20130426,000000,33.65,34.668,33.498,34.315,13493417,0
ABBV.US,D,20130429,000000,34.305,34.381,33.723,33.861,8049241,0
ABBV.US,D,20130430,000000,33.723,34.607,33.691,34.473,9083091,0
ABBV.US,D,20130501,000000,34.239,34.501,34.099,34.099,8548922,0
ABBV.US,D,20130502,000000,34.195,34.195,32.83,32.93,12893057,0
ABBV.US,D,20130503,000000,33.17,33.512,32.811,33.445,6202437,0
ABBV.US,D,20130506,000000,33.65,33.65,33.05,33.379,5457910,0
ABBV.US,D,20130507,000000,33.309,33.686,33.252,33.618,5003555,0
ABBV.US,D,20130508,000000,33.691,33.723,32.483,32.556,9315477,0
ABBV.US,D,20130509,000000,32.443,33.276,32.375,33.114,6742187,0
ABBV.US,D,20130510,000000,33.097,33.691,33.088,33.691,5952420,0
ABBV.US,D,20130513,000000,33.528,33.528,33.065,33.343,4994547,0
ABBV.US,D,20130514,000000,33.005,34.075,33.005,33.95,7696054,0
ABBV.US,D,20130515,000000,34.224,35.129,34.044,34.457,8953702,0
ABBV.US,D,20130516,000000,34.478,35.109,34.444,34.592,6152576,0
ABBV.US,D,20130517,000000,34.457,35.438,34.324,35.309,7007445,0
ABBV.US,D,20130520,000000,35.272,35.288,34.484,34.629,4726092,0
ABBV.US,D,20130521,000000,34.575,35.152,34.56,34.839,6292273,0
ABBV.US,D,20130522,000000,34.776,35.932,34.324,35.006,6951537,0
ABBV.US,D,20130523,000000,34.526,35.145,34.451,34.876,4416590,0
ABBV.US,D,20130524,000000,34.622,34.795,33.919,34.016,6026966,0
ABBV.US,D,20130528,000000,34.352,34.464,33.463,33.976,8258289,0
ABBV.US,D,20130529,000000,33.603,33.821,32.782,32.847,9228725,0
ABBV.US,D,20130530,000000,32.991,33.778,32.991,33.351,6482565,0
ABBV.US,D,20130531,000000,33.142,33.452,31.948,31.956,12436613,0
ABBV.US,D,20130603,000000,32.098,32.624,32.002,32.456,9588193,0
ABBV.US,D,20130604,000000,32.503,33.29,32.473,32.662,6049570,0
ABBV.US,D,20130605,000000,32.556,32.864,31.956,32.222,6413876,0
ABBV.US,D,20130606,000000,32.354,32.617,31.925,32.563,5692446,0
ABBV.US,D,20130607,000000,32.729,33.139,32.563,32.935,7298941,0
ABBV.US,D,20130610,000000,33.184,33.184,32.354,32.879,6283065,0
ABBV.US,D,20130611,000000,32.421,32.975,32.229,32.63,4775414,0
ABBV.US,D,20130612,000000,32.872,32.935,31.979,32.016,4999513,0
ABBV.US,D,20130613,000000,31.754,32.337,30.017,32.301,8143966,0
ABBV.US,D,20130614,000000,32.173,32.563,31.816,32.347,5448277,0
ABBV.US,D,20130617,000000,32.49,32.563,31.949,32.193,4619317,0
ABBV.US,D,20130618,000000,32.167,32.609,31.913,32.593,4869248,0
ABBV.US,D,20130619,000000,32.609,32.811,32.193,32.222,4893973,0
ABBV.US,D,20130620,000000,31.925,32.024,30.627,30.735,9987154,0
ABBV.US,D,20130621,000000,31.186,31.971,30.842,31.906,13125792,0
ABBV.US,D,20130624,000000,31.491,31.741,30.931,31.36,8074638,0
ABBV.US,D,20130625,000000,31.553,32.016,31.149,31.913,6261922,0
ABBV.US,D,20130626,000000,32.263,32.645,32.212,32.473,6323546,0
ABBV.US,D,20130627,000000,32.609,32.921,31.995,32.285,6898688,0
ABBV.US,D,20130628,000000,31.837,32.167,30.931,30.946,14366534,0
ABBV.US,D,20130701,000000,30.99,31.389,30.745,31.149,6130825,0
ABBV.US,D,20130702,000000,31.127,31.867,31.127,31.595,5834236,0
ABBV.US,D,20130703,000000,31.352,31.67,31.149,31.614,3229705,0
ABBV.US,D,20130705,000000,32.009,32.063,31.67,31.979,3665320,0
ABBV.US,D,20130708,000000,32.113,32.706,32.055,32.698,5319888,0
ABBV.US,D,20130709,000000,32.935,33.108,32.375,32.43,5087580,0
ABBV.US,D,20130710,000000,32.456,33.026,32.456,32.872,4130956,0
ABBV.US,D,20130711,000000,33.196,33.323,32.734,33.074,5376070,0
ABBV.US,D,20130712,000000,33.187,34.079,33.091,34.034,7538254,0
ABBV.US,D,20130715,000000,33.957,33.972,33.65,33.708,4323962,0
ABBV.US,D,20130716,000000,33.65,33.823,33.014,33.098,4916853,0
ABBV.US,D,20130717,000000,33.218,33.354,33.044,33.209,4826197,0
ABBV.US,D,20130718,000000,33.209,33.664,33.098,33.483,4028922,0
ABBV.US,D,20130719,000000,33.611,33.928,33.332,33.633,5605660,0
ABBV.US,D,20130722,000000,33.469,34.071,33.091,33.972,5043867,0
ABBV.US,D,20130723,000000,33.935,34.063,33.416,33.477,4679973,0
ABBV.US,D,20130724,000000,33.452,33.518,32.781,32.968,4087685,0
ABBV.US,D,20130725,000000,32.797,33.565,32.747,33.424,5412541,0
