<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABC.US,D,19950404,000000,2.5379,2.5594,2.4299,2.5464,23353809,0
ABC.US,D,19950405,000000,2.5076,2.5594,2.4514,2.4514,7075902,0
ABC.US,D,19950406,000000,2.4514,2.5379,2.4514,2.4946,2183462,0
ABC.US,D,19950407,000000,2.5076,2.5076,2.4514,2.4514,1110702,0
ABC.US,D,19950410,000000,2.4514,2.5076,2.4514,2.4818,1183788,0
ABC.US,D,19950411,000000,2.4514,2.5076,2.4514,2.4689,2368965,0
ABC.US,D,19950412,000000,2.4514,2.4818,2.4514,2.4689,1421100,0
ABC.US,D,19950413,000000,2.4514,2.4818,2.4514,2.4818,1328580,0
ABC.US,D,19950417,000000,2.4514,2.5464,2.4514,2.5464,1291575,0
ABC.US,D,19950418,000000,2.4946,2.5464,2.4818,2.5379,1411850,0
ABC.US,D,19950419,000000,2.4818,2.5076,2.4299,2.4514,822498,0
ABC.US,D,19950420,000000,2.4299,2.4299,2.3432,2.3608,591664,0
ABC.US,D,19950421,000000,2.3432,2.4299,2.3432,2.4122,1620943,0
ABC.US,D,19950424,000000,2.3736,2.4299,2.3736,2.3736,372854,0
ABC.US,D,19950425,000000,2.3736,2.4299,2.3736,2.4299,280333,0
ABC.US,D,19950426,000000,2.3736,2.4299,2.3736,2.3736,87427,0
ABC.US,D,19950427,000000,2.3736,2.4299,2.3736,2.3996,2053935,0
ABC.US,D,19950428,000000,2.3996,2.4299,2.3865,2.3865,622197,0
ABC.US,D,19950501,000000,2.4299,2.4299,2.3865,2.3865,1322570,0
ABC.US,D,19950502,000000,2.3865,2.4946,2.3865,2.4514,700837,0
ABC.US,D,19950503,000000,2.4299,2.4946,2.3996,2.4689,457510,0
ABC.US,D,19950504,000000,2.4514,2.4946,2.4299,2.4299,584725,0
ABC.US,D,19950505,000000,2.4299,2.4818,2.4299,2.4299,94834,0
ABC.US,D,19950508,000000,2.4299,2.4946,2.4299,2.4299,34229,0
ABC.US,D,19950509,000000,2.4299,2.4514,2.3608,2.3736,342786,0
ABC.US,D,19950510,000000,2.4299,2.4299,2.3608,2.3736,472774,0
ABC.US,D,19950511,000000,2.3736,2.4299,2.3608,2.3736,355738,0
ABC.US,D,19950512,000000,2.4299,2.4299,2.3608,2.3736,586113,0
ABC.US,D,19950515,000000,2.4122,2.4122,2.3303,2.3303,2133504,0
ABC.US,D,19950516,000000,2.3303,2.3608,2.3303,2.3432,1434980,0
ABC.US,D,19950517,000000,2.3608,2.3608,2.3303,2.3391,189665,0
ABC.US,D,19950518,000000,2.3303,2.3432,2.2353,2.2786,297451,0
ABC.US,D,19950519,000000,2.2653,2.2786,2.2353,2.2525,1071840,0
ABC.US,D,19950522,000000,2.2786,2.2914,2.2353,2.2914,250264,0
ABC.US,D,19950523,000000,2.2353,2.3865,2.2353,2.3736,468149,0
ABC.US,D,19950524,000000,2.3432,2.4299,2.3432,2.4299,969606,0
ABC.US,D,19950525,000000,2.4299,2.4299,2.3432,2.4299,121201,0
ABC.US,D,19950526,000000,2.4299,2.4299,2.3432,2.4299,37004,0
ABC.US,D,19950530,000000,2.3996,2.4514,2.3432,2.3996,322894,0
ABC.US,D,19950531,000000,2.4382,2.4514,2.3996,2.4514,281719,0
ABC.US,D,19950601,000000,2.4689,2.5898,2.4299,2.4818,825277,0
ABC.US,D,19950602,000000,2.4818,2.646,2.4818,2.5898,643475,0
ABC.US,D,19950605,000000,2.5898,2.646,2.5898,2.6026,462138,0
ABC.US,D,19950606,000000,2.646,2.646,2.5898,2.5898,153119,0
ABC.US,D,19950607,000000,2.5898,2.646,2.5594,2.6156,271546,0
ABC.US,D,19950608,000000,2.6156,2.6156,2.5379,2.5379,39321,0
ABC.US,D,19950609,000000,2.5898,2.5898,2.5379,2.5594,144330,0
ABC.US,D,19950612,000000,2.5379,2.5898,2.5379,2.5898,55049,0
ABC.US,D,19950613,000000,2.5898,2.5898,2.5379,2.5379,291899,0
ABC.US,D,19950614,000000,2.5379,2.5379,2.4818,2.5379,375629,0
ABC.US,D,19950615,000000,2.4818,2.5379,2.4818,2.4946,405238,0
ABC.US,D,19950616,000000,2.5379,2.5379,2.4818,2.5076,249802,0
ABC.US,D,19950619,000000,2.4818,2.5898,2.4818,2.5898,230373,0
ABC.US,D,19950620,000000,2.6156,2.6156,2.5379,2.5379,69856,0
ABC.US,D,19950621,000000,2.5594,2.646,2.5379,2.5898,725355,0
ABC.US,D,19950622,000000,2.5898,2.646,2.5769,2.5769,164685,0
ABC.US,D,19950623,000000,2.5594,2.6156,2.5379,2.6156,160059,0
ABC.US,D,19950626,000000,2.6156,2.6156,2.5379,2.5769,22670,0
ABC.US,D,19950627,000000,2.6156,2.6156,2.5379,2.5594,365455,0
ABC.US,D,19950628,000000,2.5379,2.6156,2.5379,2.5379,286347,0
ABC.US,D,19950629,000000,2.5379,2.6156,2.4818,2.4818,544016,0
ABC.US,D,19950630,000000,2.5076,2.5076,2.4514,2.4599,426518,0
ABC.US,D,19950703,000000,2.4514,2.4818,2.4299,2.4299,55974,0
ABC.US,D,19950705,000000,2.5076,2.5076,2.4299,2.4299,132305,0
ABC.US,D,19950706,000000,2.5076,2.5076,2.3996,2.4299,842854,0
ABC.US,D,19950707,000000,2.4299,2.4818,2.4299,2.4818,115188,0
ABC.US,D,19950710,000000,2.4514,2.5076,2.3996,2.4299,663827,0
ABC.US,D,19950711,000000,2.4514,2.4514,2.3996,2.4299,241938,0
ABC.US,D,19950712,000000,2.3996,2.4818,2.3996,2.4818,613870,0
ABC.US,D,19950713,000000,2.4299,2.4818,2.3996,2.4689,1354487,0
ABC.US,D,19950714,000000,2.4514,2.4514,2.3996,2.4122,243325,0
ABC.US,D,19950717,000000,2.3996,2.4514,2.3996,2.4514,544478,0
ABC.US,D,19950718,000000,2.3996,2.4514,2.3736,2.3996,68924,0
ABC.US,D,19950719,000000,2.3432,2.3996,2.3432,2.3432,16654,0
ABC.US,D,19950720,000000,2.3736,2.3736,2.2914,2.3216,36080,0
ABC.US,D,19950721,000000,2.2914,2.3736,2.2914,2.3043,30994,0
ABC.US,D,19950724,000000,2.3996,2.4514,2.2914,2.4514,438079,0
ABC.US,D,19950725,000000,2.4689,2.4818,2.3996,2.4382,103622,0
ABC.US,D,19950726,000000,2.4818,2.4818,2.3996,2.3996,3241,0
ABC.US,D,19950727,000000,2.3996,2.4818,2.3996,2.4818,529676,0
ABC.US,D,19950728,000000,2.4818,2.4818,2.3996,2.3996,36547,0
ABC.US,D,19950731,000000,2.4122,2.4514,2.3996,2.3996,18044,0
ABC.US,D,19950801,000000,2.3996,2.3996,2.3608,2.3996,49038,0
ABC.US,D,19950802,000000,2.3391,2.3608,2.2353,2.2653,4625519,0
ABC.US,D,19950803,000000,2.2525,2.2914,2.2353,2.2914,1249942,0
ABC.US,D,19950804,000000,2.2914,2.2914,2.2353,2.2914,581486,0
ABC.US,D,19950807,000000,2.3216,2.3216,2.2525,2.2525,701297,0
ABC.US,D,19950808,000000,2.2786,2.3216,2.1833,2.1833,91132,0
ABC.US,D,19950809,000000,2.2353,2.2353,2.1312,2.2136,2066890,0
ABC.US,D,19950810,000000,2.2136,2.2136,2.1312,2.1574,97145,0
ABC.US,D,19950811,000000,2.2136,2.2136,2.1574,2.1704,167460,0
ABC.US,D,19950814,000000,2.1963,2.2136,2.1574,2.2136,86968,0
ABC.US,D,19950815,000000,2.1574,2.2136,2.1574,2.2136,345097,0
ABC.US,D,19950816,000000,2.2653,2.3432,2.2136,2.3432,732752,0
ABC.US,D,19950817,000000,2.3216,2.4818,2.3216,2.4689,1346621,0
ABC.US,D,19950818,000000,2.4818,2.5076,2.3996,2.5076,212795,0
ABC.US,D,19950821,000000,2.5076,2.5076,2.4689,2.4818,625430,0
ABC.US,D,19950822,000000,2.4818,2.5076,2.4514,2.4514,255815,0
