<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABEQ.US,D,20200123,000000,24.849,24.949,24.809,24.924,39638,0
ABEQ.US,D,20200124,000000,24.869,24.869,24.74,24.793,27125,0
ABEQ.US,D,20200127,000000,24.55,24.58,24.528,24.528,24345,0
ABEQ.US,D,20200128,000000,24.63,24.73,24.58,24.63,55680,0
ABEQ.US,D,20200129,000000,24.66,24.68,24.605,24.605,19842,0
ABEQ.US,D,20200130,000000,24.5,24.671,24.5,24.671,2896,0
ABEQ.US,D,20200131,000000,24.525,24.525,24.415,24.443,15918,0
ABEQ.US,D,20200203,000000,24.556,24.58,24.51,24.523,24496,0
ABEQ.US,D,20200204,000000,24.715,24.715,24.661,24.661,177082,0
ABEQ.US,D,20200205,000000,24.919,24.945,24.909,24.923,9294,0
ABEQ.US,D,20200206,000000,25.049,25.067,24.999,24.999,5422,0
ABEQ.US,D,20200207,000000,24.932,24.962,24.849,24.896,176594,0
ABEQ.US,D,20200210,000000,25.138,25.138,24.992,24.992,2495,0
ABEQ.US,D,20200211,000000,25.089,25.106,25.078,25.093,4512,0
ABEQ.US,D,20200212,000000,25.082,25.082,25.076,25.076,2467,0
ABEQ.US,D,20200213,000000,25.029,25.059,25.019,25.019,5338,0
ABEQ.US,D,20200214,000000,24.868,24.891,24.868,24.891,405,0
ABEQ.US,D,20200218,000000,24.808,24.918,24.799,24.918,5568,0
ABEQ.US,D,20200219,000000,25.128,25.128,25.023,25.023,2607,0
ABEQ.US,D,20200220,000000,25.049,25.118,24.989,25.058,41386,0
ABEQ.US,D,20200221,000000,24.984,25.044,24.969,25.02,2909,0
ABEQ.US,D,20200224,000000,24.625,24.645,24.559,24.563,4447,0
ABEQ.US,D,20200225,000000,24.52,24.52,24.013,24.013,3742,0
ABEQ.US,D,20200226,000000,24.109,24.109,23.846,23.846,410,0
ABEQ.US,D,20200227,000000,23.484,23.613,23.161,23.161,6998,0
ABEQ.US,D,20200228,000000,22.416,22.747,22.416,22.747,3483,0
ABEQ.US,D,20200302,000000,23.074,23.372,23.049,23.372,1813,0
ABEQ.US,D,20200303,000000,23.493,23.493,23.129,23.176,3715,0
ABEQ.US,D,20200304,000000,23.338,23.675,23.338,23.675,14824,0
ABEQ.US,D,20200305,000000,23.393,23.433,23.134,23.236,111829,0
ABEQ.US,D,20200306,000000,22.955,23.139,22.758,23.046,115102,0
ABEQ.US,D,20200309,000000,23.044,23.044,21.619,21.619,2366,0
ABEQ.US,D,20200310,000000,22.187,22.187,21.489,21.744,21958,0
ABEQ.US,D,20200311,000000,21.509,21.768,21.369,21.768,23062,0
ABEQ.US,D,20200312,000000,21.768,21.768,19.943,20.096,8000,0
ABEQ.US,D,20200313,000000,19.943,20.801,19.735,20.801,197778,0
ABEQ.US,D,20200316,000000,19.903,20.701,19.261,19.268,14235,0
ABEQ.US,D,20200317,000000,19.425,20.342,19.086,20.022,6388,0
ABEQ.US,D,20200318,000000,19.158,19.265,18.685,18.998,12586,0
ABEQ.US,D,20200319,000000,19.245,19.417,19.006,19.417,2983,0
ABEQ.US,D,20200320,000000,19.385,19.604,18.607,18.607,11008,0
ABEQ.US,D,20200323,000000,18.587,18.587,17.957,18.111,4702,0
ABEQ.US,D,20200324,000000,19.903,19.903,19.008,19.505,11904,0
ABEQ.US,D,20200325,000000,19.504,20.362,19.48,19.825,10864,0
ABEQ.US,D,20200326,000000,20.227,20.537,20.227,20.492,7395,0
ABEQ.US,D,20200327,000000,19.785,20.201,19.785,19.94,5390,0
ABEQ.US,D,20200330,000000,20.192,20.551,20.098,20.421,60854,0
ABEQ.US,D,20200331,000000,20.342,20.412,20.145,20.156,118302,0
ABEQ.US,D,20200401,000000,19.584,19.684,19.584,19.649,872,0
ABEQ.US,D,20200402,000000,19.947,20.068,19.739,19.876,18274,0
ABEQ.US,D,20200403,000000,19.774,19.834,19.734,19.758,6396,0
ABEQ.US,D,20200406,000000,20.532,20.632,20.452,20.632,2774,0
ABEQ.US,D,20200407,000000,20.97,20.995,20.512,20.674,4685,0
