<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABM.US,D,20050225,000000,14.77,15.07,14.723,15.061,113796,0
ABM.US,D,20050228,000000,15.013,15.052,14.8,14.996,142340,0
ABM.US,D,20050301,000000,14.891,15.223,14.877,15.11,172862,0
ABM.US,D,20050302,000000,14.948,15.256,14.933,15.021,153582,0
ABM.US,D,20050303,000000,15.118,15.19,14.77,15.035,106262,0
ABM.US,D,20050304,000000,15.135,15.2,14.988,15.159,169031,0
ABM.US,D,20050307,000000,15.168,15.457,15.144,15.256,116516,0
ABM.US,D,20050308,000000,15.741,16.332,15.613,15.613,472487,0
ABM.US,D,20050309,000000,15.613,15.928,15.498,15.785,318411,0
ABM.US,D,20050310,000000,15.675,15.992,15.474,15.53,258485,0
ABM.US,D,20050311,000000,15.45,15.675,15.302,15.336,678097,0
ABM.US,D,20050314,000000,15.417,15.814,15.417,15.792,215862,0
ABM.US,D,20050315,000000,15.945,16.09,15.854,15.992,633118,0
ABM.US,D,20050316,000000,15.985,16.063,15.846,15.911,195597,0
ABM.US,D,20050317,000000,15.903,16.208,15.792,16.081,196458,0
ABM.US,D,20050318,000000,16.09,16.09,15.659,15.741,415781,0
ABM.US,D,20050321,000000,15.621,15.776,15.467,15.717,159637,0
ABM.US,D,20050322,000000,15.595,15.758,15.513,15.652,149509,0
ABM.US,D,20050323,000000,15.595,15.733,15.474,15.548,203503,0
ABM.US,D,20050324,000000,15.556,15.749,15.556,15.628,133814,0
ABM.US,D,20050328,000000,15.666,15.741,15.353,15.417,169397,0
ABM.US,D,20050329,000000,15.498,15.684,15.379,15.573,227351,0
ABM.US,D,20050330,000000,15.548,15.717,15.506,15.582,220307,0
ABM.US,D,20050331,000000,15.513,15.595,15.395,15.563,216228,0
ABM.US,D,20050401,000000,15.573,15.659,15.294,15.353,170389,0
ABM.US,D,20050404,000000,15.256,15.785,15.135,15.723,153337,0
ABM.US,D,20050405,000000,15.675,15.785,15.457,15.652,223520,0
ABM.US,D,20050406,000000,15.659,15.767,15.403,15.403,196458,0
ABM.US,D,20050407,000000,15.379,15.684,15.379,15.563,130604,0
ABM.US,D,20050408,000000,15.539,15.741,15.521,15.521,154696,0
ABM.US,D,20050411,000000,15.521,15.717,15.214,15.214,106012,0
ABM.US,D,20050412,000000,15.159,15.635,15.052,15.613,158530,0
ABM.US,D,20050413,000000,15.521,15.589,15.094,15.273,163219,0
ABM.US,D,20050414,000000,15.223,15.426,14.957,14.988,197692,0
ABM.US,D,20050415,000000,14.996,15.177,14.996,15.061,184098,0
ABM.US,D,20050418,000000,15.094,15.177,14.925,15.094,150868,0
ABM.US,D,20050419,000000,15.013,15.177,14.908,15.078,160999,0
ABM.US,D,20050420,000000,15.07,15.07,14.572,14.691,181630,0
ABM.US,D,20050421,000000,14.784,15.311,14.691,15.273,154450,0
ABM.US,D,20050422,000000,15.214,15.214,14.658,14.974,207951,0
ABM.US,D,20050425,000000,14.974,15.013,14.746,15.013,113553,0
ABM.US,D,20050426,000000,14.933,15.118,14.851,14.925,180271,0
ABM.US,D,20050427,000000,14.925,15.185,14.851,14.86,128876,0
ABM.US,D,20050428,000000,14.784,14.899,14.713,14.851,164951,0
ABM.US,D,20050429,000000,14.933,14.974,14.581,14.705,109845,0
ABM.US,D,20050502,000000,14.705,14.899,14.697,14.899,91932,0
ABM.US,D,20050503,000000,14.851,14.891,14.633,14.784,119731,0
ABM.US,D,20050504,000000,14.851,15.118,14.851,15.118,80312,0
ABM.US,D,20050505,000000,15.094,15.127,14.851,14.925,124302,0
ABM.US,D,20050506,000000,14.981,15.135,14.917,15.11,85379,0
ABM.US,D,20050509,000000,15.11,15.278,14.948,15.278,78338,0
ABM.US,D,20050510,000000,15.2,15.379,15.044,15.15,144192,0
ABM.US,D,20050511,000000,15.223,15.256,14.974,15.159,87853,0
ABM.US,D,20050512,000000,15.159,15.265,14.988,15.005,148268,0
ABM.US,D,20050513,000000,15.005,15.094,14.851,14.851,88224,0
ABM.US,D,20050516,000000,14.851,15.233,14.851,15.233,81917,0
ABM.US,D,20050517,000000,15.135,15.336,14.974,15.168,83278,0
ABM.US,D,20050518,000000,15.168,15.539,15.168,15.498,132089,0
ABM.US,D,20050519,000000,15.417,15.758,15.417,15.741,125539,0
ABM.US,D,20050520,000000,15.776,15.776,15.426,15.628,82784,0
ABM.US,D,20050523,000000,15.548,15.785,15.548,15.717,62148,0
ABM.US,D,20050524,000000,15.684,15.758,15.539,15.659,78705,0
ABM.US,D,20050525,000000,15.621,15.621,15.241,15.256,103172,0
ABM.US,D,20050526,000000,15.294,15.582,15.223,15.506,88843,0
ABM.US,D,20050527,000000,15.417,15.582,15.302,15.556,94648,0
ABM.US,D,20050531,000000,15.474,15.613,15.395,15.434,62893,0
ABM.US,D,20050601,000000,15.513,15.785,15.513,15.785,128876,0
ABM.US,D,20050602,000000,15.785,15.82,15.666,15.723,156179,0
ABM.US,D,20050603,000000,15.666,15.776,15.498,15.652,77596,0
ABM.US,D,20050606,000000,15.613,15.854,15.434,15.785,119731,0
ABM.US,D,20050607,000000,15.82,15.985,15.693,15.814,135174,0
ABM.US,D,20050608,000000,15.945,16.348,15.214,15.371,398972,0
ABM.US,D,20050609,000000,15.417,15.417,14.988,15.206,389335,0
ABM.US,D,20050610,000000,15.206,15.206,14.809,14.826,299263,0
ABM.US,D,20050613,000000,14.731,14.981,14.713,14.809,231794,0
ABM.US,D,20050614,000000,14.739,15.094,14.739,14.967,242302,0
ABM.US,D,20050615,000000,14.981,15.327,14.908,15.294,443331,0
ABM.US,D,20050616,000000,15.241,15.703,15.214,15.703,198311,0
ABM.US,D,20050617,000000,15.767,16.032,15.717,15.838,342384,0
ABM.US,D,20050620,000000,15.846,15.862,15.589,15.621,245265,0
ABM.US,D,20050621,000000,15.644,15.798,15.613,15.733,282579,0
ABM.US,D,20050622,000000,15.749,15.92,15.595,15.798,235626,0
ABM.US,D,20050623,000000,15.703,15.854,15.474,15.675,246626,0
ABM.US,D,20050624,000000,15.621,15.71,15.353,15.379,217464,0
ABM.US,D,20050627,000000,15.273,15.426,15.214,15.327,140858,0
ABM.US,D,20050628,000000,15.379,15.582,15.287,15.573,211040,0
ABM.US,D,20050629,000000,15.539,15.846,15.521,15.749,203007,0
ABM.US,D,20050630,000000,15.806,15.928,15.684,15.785,195597,0
ABM.US,D,20050701,000000,15.723,16.048,15.693,16.048,187560,0
ABM.US,D,20050705,000000,16.056,16.149,15.846,16.024,230190,0
ABM.US,D,20050706,000000,15.969,16.024,15.903,15.998,248354,0
ABM.US,D,20050707,000000,15.838,16.164,15.785,16.024,274300,0
ABM.US,D,20050708,000000,15.985,16.178,15.978,16.072,308156,0
ABM.US,D,20050711,000000,16.056,16.406,16.008,16.149,254158,0
ABM.US,D,20050712,000000,16.024,16.208,16.024,16.122,386865,0
ABM.US,D,20050713,000000,16.122,16.186,16.017,16.063,191146,0
ABM.US,D,20050714,000000,16.107,16.172,15.952,15.992,138884,0
ABM.US,D,20050715,000000,15.952,16.056,15.82,15.887,215734,0
ABM.US,D,20050718,000000,15.894,15.937,15.717,15.785,277760,0
ABM.US,D,20050719,000000,15.785,15.911,15.785,15.879,270592,0
ABM.US,D,20050720,000000,15.767,16.024,15.758,16.008,185338,0
ABM.US,D,20050721,000000,16.063,16.149,15.767,15.806,233155,0
ABM.US,D,20050722,000000,15.758,16.107,15.71,16.107,197200,0
ABM.US,D,20050725,000000,16.024,16.164,15.903,15.985,179782,0
ABM.US,D,20050726,000000,15.985,16.149,15.854,16.017,172240,0
ABM.US,D,20050727,000000,16.024,16.056,15.854,15.862,184598,0
ABM.US,D,20050728,000000,15.879,16.164,15.792,16.164,194605,0
ABM.US,D,20050729,000000,16.024,16.122,15.792,15.862,172366,0
ABM.US,D,20050801,000000,15.87,16.172,15.854,16.063,122324,0
ABM.US,D,20050802,000000,16.099,16.525,16.063,16.525,266146,0
ABM.US,D,20050803,000000,16.43,16.43,16.172,16.235,120345,0
ABM.US,D,20050804,000000,16.186,16.186,15.684,15.749,165691,0
ABM.US,D,20050805,000000,15.703,15.829,15.506,15.785,177924,0
ABM.US,D,20050808,000000,15.767,15.862,15.426,15.767,168906,0
ABM.US,D,20050809,000000,15.776,15.854,15.582,15.767,133197,0
ABM.US,D,20050810,000000,15.894,15.978,15.605,15.703,117875,0
ABM.US,D,20050811,000000,15.659,16.081,15.573,16.024,222527,0
ABM.US,D,20050812,000000,16.048,16.048,15.666,15.666,182744,0
ABM.US,D,20050815,000000,15.563,15.741,15.539,15.644,163714,0
ABM.US,D,20050816,000000,15.589,15.684,15.294,15.294,231794,0
ABM.US,D,20050817,000000,15.294,15.513,15.206,15.379,222408,0
ABM.US,D,20050818,000000,15.362,15.45,15.19,15.327,153092,0
ABM.US,D,20050819,000000,15.294,15.548,15.185,15.482,111819,0
ABM.US,D,20050822,000000,15.53,15.675,15.409,15.666,84144,0
ABM.US,D,20050823,000000,15.652,15.675,15.45,15.563,111450,0
ABM.US,D,20050824,000000,15.556,15.992,15.521,15.521,150123,0
ABM.US,D,20050825,000000,15.539,15.96,15.467,15.903,135918,0
ABM.US,D,20050826,000000,15.903,15.903,15.443,15.506,117258,0
ABM.US,D,20050829,000000,15.513,15.798,15.403,15.684,98229,0
ABM.US,D,20050830,000000,15.556,15.703,15.489,15.659,78705,0
ABM.US,D,20050831,000000,15.659,16.107,15.613,16.048,145926,0
ABM.US,D,20050901,000000,16.048,16.201,15.785,15.911,149752,0
ABM.US,D,20050902,000000,15.92,16.024,15.785,15.911,63261,0
ABM.US,D,20050906,000000,15.969,16.332,15.969,16.332,169397,0
ABM.US,D,20050907,000000,16.186,16.348,15.978,16.339,85875,0
ABM.US,D,20050908,000000,16.916,16.971,16.039,16.149,273803,0
ABM.US,D,20050909,000000,16.178,16.818,16.09,16.726,259721,0
ABM.US,D,20050912,000000,16.639,17.343,16.51,17.279,525250,0
ABM.US,D,20050913,000000,17.157,17.157,16.818,16.892,343994,0
ABM.US,D,20050914,000000,16.978,17.045,16.866,16.916,251324,0
ABM.US,D,20050915,000000,16.971,16.971,16.494,16.551,197200,0
ABM.US,D,20050916,000000,16.672,16.954,16.446,16.851,744567,0
ABM.US,D,20050919,000000,16.866,16.866,16.647,16.71,161494,0
ABM.US,D,20050920,000000,16.795,16.916,16.647,16.795,247118,0
ABM.US,D,20050921,000000,16.752,17.004,16.517,16.608,277641,0
ABM.US,D,20050922,000000,16.551,16.786,16.348,16.786,186450,0
ABM.US,D,20050923,000000,16.608,16.735,16.421,16.6,127018,0
ABM.US,D,20050926,000000,16.71,16.761,16.487,16.639,162476,0
ABM.US,D,20050927,000000,16.625,16.9,16.348,16.682,178794,0
ABM.US,D,20050928,000000,16.752,16.752,16.372,16.639,114537,0
ABM.US,D,20050929,000000,16.525,16.9,16.325,16.9,133568,0
ABM.US,D,20050930,000000,16.9,16.9,16.592,16.841,145800,0
ABM.US,D,20051003,000000,16.818,16.996,16.818,16.954,271585,0
ABM.US,D,20051004,000000,16.954,17.037,16.81,16.954,208568,0
ABM.US,D,20051005,000000,16.996,17.004,16.201,16.243,264788,0
ABM.US,D,20051006,000000,16.201,16.462,15.862,16.107,248723,0
ABM.US,D,20051007,000000,16.107,16.453,16.107,16.363,195719,0
ABM.US,D,20051010,000000,16.284,16.382,15.978,16.372,182991,0
ABM.US,D,20051011,000000,16.43,16.43,16.032,16.048,177802,0
ABM.US,D,20051012,000000,15.903,16.008,15.521,15.723,123684,0
ABM.US,D,20051013,000000,15.659,15.952,15.539,15.798,168537,0
ABM.US,D,20051014,000000,15.937,16.063,15.71,15.945,113796,0
ABM.US,D,20051017,000000,15.862,15.879,15.513,15.829,128255,0
ABM.US,D,20051018,000000,15.945,15.978,15.621,15.785,141353,0
ABM.US,D,20051019,000000,15.703,16.348,15.53,16.348,161494,0
ABM.US,D,20051020,000000,16.267,16.284,15.666,15.952,188181,0
ABM.US,D,20051021,000000,15.952,16.208,15.814,15.862,115900,0
ABM.US,D,20051024,000000,15.945,16.186,15.814,16.186,100210,0
ABM.US,D,20051025,000000,16.149,16.149,15.666,16.09,154202,0
ABM.US,D,20051026,000000,16.024,16.14,15.749,15.814,156179,0
ABM.US,D,20051027,000000,15.703,15.792,15.53,15.628,98353,0
ABM.US,D,20051028,000000,15.684,15.911,15.621,15.776,119977,0
ABM.US,D,20051031,000000,15.785,16.14,15.785,16.008,175823,0
ABM.US,D,20051101,000000,15.952,15.978,15.652,15.785,121210,0
ABM.US,D,20051102,000000,15.785,16.301,15.785,16.251,262562,0
ABM.US,D,20051103,000000,16.348,16.406,16.186,16.356,126028,0
