<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABR.US,D,20050225,000000,12.548,12.573,12.217,12.263,114591,0
ABR.US,D,20050228,000000,12.326,12.425,12.267,12.326,124935,0
ABR.US,D,20050301,000000,12.326,12.721,12.326,12.673,196128,0
ABR.US,D,20050302,000000,12.673,12.907,12.573,12.855,182738,0
ABR.US,D,20050303,000000,12.918,13.215,12.843,13.215,83769,0
ABR.US,D,20050304,000000,13.262,13.31,13.119,13.181,113782,0
ABR.US,D,20050307,000000,13.188,13.254,13.123,13.123,143392,0
ABR.US,D,20050308,000000,13.158,13.21,13.046,13.104,76059,0
ABR.US,D,20050309,000000,13.091,13.158,12.932,13.081,70583,0
ABR.US,D,20050310,000000,13.11,13.119,12.969,13.002,65712,0
ABR.US,D,20050311,000000,13.002,13.002,12.623,12.858,84575,0
ABR.US,D,20050314,000000,12.818,12.829,12.771,12.794,335667,0
ABR.US,D,20050315,000000,12.771,12.799,12.721,12.736,110740,0
ABR.US,D,20050316,000000,12.732,12.869,12.673,12.71,161039,0
ABR.US,D,20050317,000000,12.71,12.818,12.697,12.721,68963,0
ABR.US,D,20050318,000000,12.794,12.794,12.633,12.661,89848,0
ABR.US,D,20050321,000000,12.642,12.739,12.628,12.642,35497,0
ABR.US,D,20050322,000000,12.597,12.818,12.597,12.732,204442,0
ABR.US,D,20050323,000000,12.697,12.697,12.321,12.321,112361,0
ABR.US,D,20050324,000000,12.276,12.456,12.276,12.326,90661,0
ABR.US,D,20050328,000000,12.326,12.35,11.647,11.898,178278,0
ABR.US,D,20050329,000000,11.898,11.97,11.782,11.858,177674,0
ABR.US,D,20050330,000000,11.931,12.129,11.923,12.021,91472,0
ABR.US,D,20050331,000000,12.026,12.204,11.983,12.204,60442,0
ABR.US,D,20050401,000000,12.178,12.35,12.036,12.178,105061,0
ABR.US,D,20050404,000000,12.178,12.308,12.06,12.242,33064,0
ABR.US,D,20050405,000000,12.253,12.539,12.224,12.5,56789,0
ABR.US,D,20050406,000000,12.573,12.673,12.533,12.573,429572,0
ABR.US,D,20050407,000000,12.573,12.573,12.506,12.548,62670,0
ABR.US,D,20050408,000000,12.573,12.573,12.437,12.441,33667,0
ABR.US,D,20050411,000000,12.449,12.567,12.384,12.425,59017,0
ABR.US,D,20050412,000000,12.439,12.573,12.38,12.567,34681,0
ABR.US,D,20050413,000000,12.573,12.597,12.321,12.573,85592,0
ABR.US,D,20050414,000000,12.5,12.573,12.425,12.437,151913,0
ABR.US,D,20050415,000000,12.431,12.567,12.362,12.449,106282,0
ABR.US,D,20050418,000000,12.5,12.869,12.5,12.815,368524,0
ABR.US,D,20050419,000000,12.818,12.894,12.79,12.829,124935,0
ABR.US,D,20050420,000000,12.858,12.869,12.765,12.818,143392,0
ABR.US,D,20050421,000000,12.818,12.869,12.697,12.81,121687,0
ABR.US,D,20050422,000000,12.869,12.914,12.75,12.818,101616,0
ABR.US,D,20050425,000000,12.869,12.963,12.818,12.869,90258,0
ABR.US,D,20050426,000000,12.869,12.894,12.806,12.838,224928,0
ABR.US,D,20050427,000000,12.745,12.745,12.496,12.543,86202,0
ABR.US,D,20050428,000000,12.543,12.543,12.402,12.402,77479,0
ABR.US,D,20050429,000000,12.413,12.413,12.036,12.08,115205,0
ABR.US,D,20050502,000000,11.957,12.567,11.957,12.567,82543,0
ABR.US,D,20050503,000000,12.524,12.721,12.396,12.573,152722,0
ABR.US,D,20050504,000000,12.646,12.818,12.646,12.771,126561,0
ABR.US,D,20050505,000000,12.806,12.818,12.705,12.779,361223,0
ABR.US,D,20050506,000000,12.806,12.818,12.697,12.794,60442,0
ABR.US,D,20050509,000000,12.87,13.026,12.87,12.972,135487,0
ABR.US,D,20050510,000000,12.972,13.116,12.918,13.116,129191,0
ABR.US,D,20050511,000000,13.123,13.146,13.041,13.059,159007,0
ABR.US,D,20050512,000000,13.059,13.081,12.87,12.884,138733,0
ABR.US,D,20050513,000000,12.888,13.067,12.85,12.918,73421,0
ABR.US,D,20050516,000000,12.99,13.116,12.99,12.99,208906,0
ABR.US,D,20050517,000000,12.894,13.067,12.894,13.011,172803,0
ABR.US,D,20050518,000000,13.057,13.057,12.969,12.987,176051,0
ABR.US,D,20050519,000000,13.017,13.057,12.972,12.983,239935,0
ABR.US,D,20050520,000000,13.007,13.067,12.969,13.03,322079,0
ABR.US,D,20050523,000000,13.067,13.188,13.007,13.11,368319,0
ABR.US,D,20050524,000000,13.129,13.181,13.074,13.116,354122,0
ABR.US,D,20050525,000000,13.138,13.188,13.091,13.123,402191,0
ABR.US,D,20050526,000000,13.138,13.138,13.119,13.135,93500,0
ABR.US,D,20050527,000000,13.135,13.138,13.091,13.138,39755,0
ABR.US,D,20050531,000000,13.138,13.232,13.116,13.138,187609,0
ABR.US,D,20050601,000000,13.163,13.674,13.152,13.42,295108,0
ABR.US,D,20050602,000000,13.519,13.894,13.486,13.508,128994,0
ABR.US,D,20050603,000000,13.435,13.682,13.435,13.48,51114,0
ABR.US,D,20050606,000000,13.56,13.682,13.503,13.609,154546,0
ABR.US,D,20050607,000000,13.657,13.831,13.628,13.779,134270,0
ABR.US,D,20050608,000000,13.779,13.826,13.708,13.712,91062,0
ABR.US,D,20050609,000000,13.762,13.826,13.583,13.774,92684,0
ABR.US,D,20050610,000000,13.774,13.85,13.637,13.657,89038,0
ABR.US,D,20050613,000000,13.756,13.891,13.708,13.756,232842,0
ABR.US,D,20050614,000000,13.779,13.861,13.771,13.807,197341,0
ABR.US,D,20050615,000000,13.929,13.929,13.762,13.807,73019,0
ABR.US,D,20050616,000000,13.929,13.929,13.779,13.818,268126,0
ABR.US,D,20050617,000000,13.855,14.022,13.814,14.002,295108,0
ABR.US,D,20050620,000000,14.127,14.397,14.037,14.187,446199,0
ABR.US,D,20050621,000000,14.276,14.287,14.101,14.104,331812,0
ABR.US,D,20050622,000000,14.225,14.28,14.022,14.211,230599,0
ABR.US,D,20050623,000000,14.181,14.324,14.092,14.152,183958,0
ABR.US,D,20050624,000000,14.152,14.225,13.826,13.978,876182,0
ABR.US,D,20050627,000000,14.019,14.152,13.878,13.92,118650,0
ABR.US,D,20050628,000000,14.002,14.152,13.929,14.026,191460,0
ABR.US,D,20050629,000000,14.052,14.169,14.037,14.145,177265,0
ABR.US,D,20050630,000000,14.174,14.204,14.088,14.152,158405,0
ABR.US,D,20050701,000000,14.174,14.276,14.096,14.276,76464,0
ABR.US,D,20050705,000000,14.276,14.547,14.276,14.517,132238,0
ABR.US,D,20050706,000000,14.517,14.594,14.457,14.534,243384,0
ABR.US,D,20050707,000000,14.506,14.573,14.359,14.52,139742,0
ABR.US,D,20050708,000000,14.547,15.278,14.512,15.038,265691,0
ABR.US,D,20050711,000000,14.984,14.987,14.598,14.609,257374,0
ABR.US,D,20050712,000000,14.643,14.81,14.47,14.752,312943,0
ABR.US,D,20050713,000000,14.752,14.771,14.629,14.681,318226,0
ABR.US,D,20050714,000000,14.681,14.681,14.47,14.475,332823,0
ABR.US,D,20050715,000000,14.475,14.534,14.382,14.52,283135,0
ABR.US,D,20050718,000000,14.52,14.669,14.418,14.657,188823,0
ABR.US,D,20050719,000000,14.677,14.795,14.629,14.757,182945,0
ABR.US,D,20050720,000000,14.782,14.847,14.738,14.795,353513,0
ABR.US,D,20050721,000000,14.841,14.887,14.692,14.795,163472,0
ABR.US,D,20050722,000000,14.83,14.83,14.707,14.741,283741,0
ABR.US,D,20050725,000000,14.767,14.871,14.609,14.728,188013,0
ABR.US,D,20050726,000000,14.747,14.864,14.643,14.864,131630,0
ABR.US,D,20050727,000000,14.817,15.015,14.692,15.015,306864,0
ABR.US,D,20050728,000000,15.084,15.216,15.015,15.112,326336,0
ABR.US,D,20050729,000000,15.158,15.318,15.125,15.185,137513,0
ABR.US,D,20050801,000000,15.212,15.306,15.084,15.149,119865,0
ABR.US,D,20050802,000000,15.202,15.335,15.202,15.306,174827,0
ABR.US,D,20050803,000000,15.314,15.385,15.212,15.385,232428,0
ABR.US,D,20050804,000000,15.335,15.364,15.081,15.081,192071,0
ABR.US,D,20050805,000000,15.081,15.158,13.473,13.956,834805,0
ABR.US,D,20050808,000000,13.96,13.96,13.323,13.46,393270,0
ABR.US,D,20050809,000000,13.682,13.682,13.156,13.262,493057,0
ABR.US,D,20050810,000000,13.435,13.779,13.435,13.583,550252,0
ABR.US,D,20050811,000000,13.425,13.723,13.301,13.609,241966,0
ABR.US,D,20050812,000000,13.609,13.657,13.376,13.411,112160,0
ABR.US,D,20050815,000000,13.46,13.56,13.194,13.411,276444,0
ABR.US,D,20050816,000000,13.396,13.425,13.306,13.376,163071,0
ABR.US,D,20050817,000000,13.425,13.535,13.31,13.42,240952,0
ABR.US,D,20050818,000000,13.362,13.583,13.288,13.401,384545,0
ABR.US,D,20050819,000000,13.396,13.406,13.272,13.362,93296,0
ABR.US,D,20050822,000000,13.376,13.46,13.337,13.46,171383,0
ABR.US,D,20050823,000000,13.446,13.573,13.411,13.469,215795,0
ABR.US,D,20050824,000000,13.441,13.723,13.396,13.614,702771,0
ABR.US,D,20050825,000000,13.503,13.956,13.503,13.826,646992,0
ABR.US,D,20050826,000000,13.855,13.855,13.401,13.49,311536,0
ABR.US,D,20050829,000000,13.583,13.978,13.508,13.814,257180,0
ABR.US,D,20050830,000000,13.929,13.943,13.831,13.885,249669,0
ABR.US,D,20050831,000000,13.802,14.145,13.802,14.022,225735,0
ABR.US,D,20050901,000000,14.052,14.057,13.818,13.869,229590,0
ABR.US,D,20050902,000000,13.903,13.929,13.814,13.929,167733,0
ABR.US,D,20050906,000000,13.929,14.284,13.885,14.22,268126,0
ABR.US,D,20050907,000000,14.122,14.244,14.077,14.122,346824,0
ABR.US,D,20050908,000000,14.104,14.347,14.101,14.225,391240,0
ABR.US,D,20050909,000000,14.233,14.262,13.993,14.057,221481,0
ABR.US,D,20050912,000000,13.948,14.291,13.908,14.22,234260,0
ABR.US,D,20050913,000000,14.22,14.31,14.088,14.254,268937,0
ABR.US,D,20050914,000000,14.248,14.248,14.174,14.225,324513,0
ABR.US,D,20050915,000000,14.165,14.199,14.152,14.195,160636,0
ABR.US,D,20050916,000000,14.199,14.199,14.152,14.187,219043,0
ABR.US,D,20050919,000000,14.174,14.241,14.127,14.22,313967,0
ABR.US,D,20050920,000000,14.248,14.324,13.865,13.983,323903,0
ABR.US,D,20050921,000000,13.983,14.061,13.873,14.002,273196,0
ABR.US,D,20050922,000000,13.956,14.065,13.903,13.929,144001,0
ABR.US,D,20050923,000000,13.929,14.057,13.831,13.937,131427,0
ABR.US,D,20050926,000000,13.956,14.057,13.903,13.903,120274,0
ABR.US,D,20050927,000000,13.873,14.181,13.873,13.978,139539,0
ABR.US,D,20050928,000000,13.967,14.104,13.932,14.047,186397,0
ABR.US,D,20050929,000000,13.987,14.101,13.929,14.101,164688,0
ABR.US,D,20050930,000000,14.101,14.127,13.807,13.855,174429,0
ABR.US,D,20051003,000000,13.807,14.141,13.771,14.141,223302,0
ABR.US,D,20051004,000000,14.141,14.347,14.019,14.254,420445,0
ABR.US,D,20051005,000000,14.174,14.241,13.929,14.225,207482,0
ABR.US,D,20051006,000000,14.225,14.347,14.101,14.241,302807,0
ABR.US,D,20051007,000000,14.241,14.506,14.199,14.393,134270,0
ABR.US,D,20051010,000000,14.342,14.47,14.117,14.195,543759,0
ABR.US,D,20051011,000000,14.195,14.262,13.807,13.809,259000,0
ABR.US,D,20051012,000000,13.756,13.894,13.401,13.532,273808,0
ABR.US,D,20051013,000000,13.532,13.573,13.194,13.362,256774,0
ABR.US,D,20051014,000000,13.486,13.786,13.39,13.751,255354,0
ABR.US,D,20051017,000000,13.73,13.855,13.648,13.791,289627,0
ABR.US,D,20051018,000000,13.802,13.835,13.473,13.532,359197,0
ABR.US,D,20051019,000000,13.532,13.674,13.372,13.648,389821,0
ABR.US,D,20051020,000000,13.674,13.73,13.203,13.299,204034,0
ABR.US,D,20051021,000000,13.245,13.657,13.245,13.56,216606,0
ABR.US,D,20051024,000000,13.756,13.84,13.666,13.779,341139,0
ABR.US,D,20051025,000000,13.56,13.712,13.31,13.708,168338,0
ABR.US,D,20051026,000000,13.679,13.679,13.46,13.549,190853,0
ABR.US,D,20051027,000000,13.549,13.556,13.239,13.239,75455,0
ABR.US,D,20051028,000000,13.254,13.258,13.011,13.041,221884,0
ABR.US,D,20051031,000000,13.067,13.278,12.972,12.995,194306,0
ABR.US,D,20051101,000000,13.007,13.245,12.829,13.091,175032,0
ABR.US,D,20051102,000000,13.116,13.48,12.969,13.48,147049,0
ABR.US,D,20051103,000000,13.532,13.623,13.411,13.556,113172,0
ABR.US,D,20051104,000000,13.556,13.657,13.31,13.508,120274,0
ABR.US,D,20051107,000000,12.818,12.818,12.106,12.472,1263368,0
ABR.US,D,20051108,000000,12.402,13.188,12.402,13.07,424098,0
ABR.US,D,20051109,000000,13.091,13.35,12.899,13.278,313760,0
ABR.US,D,20051110,000000,13.278,13.85,13.123,13.756,221684,0
ABR.US,D,20051111,000000,13.565,13.802,13.411,13.701,181523,0
ABR.US,D,20051114,000000,13.756,13.756,13.31,13.411,129398,0
ABR.US,D,20051115,000000,13.46,13.807,13.323,13.756,173007,0
ABR.US,D,20051116,000000,13.855,13.855,13.239,13.49,221684,0
ABR.US,D,20051117,000000,13.535,13.598,13.425,13.508,94920,0
ABR.US,D,20051118,000000,13.609,13.609,13.435,13.496,115205,0
ABR.US,D,20051121,000000,13.387,13.556,13.337,13.435,101209,0
ABR.US,D,20051122,000000,13.435,13.508,13.329,13.455,155969,0
ABR.US,D,20051123,000000,13.455,13.503,13.306,13.435,112970,0
ABR.US,D,20051125,000000,13.431,13.56,13.341,13.549,30626,0
ABR.US,D,20051128,000000,13.56,13.56,13.39,13.411,98981,0
ABR.US,D,20051129,000000,13.425,13.455,13.346,13.376,77071,0
ABR.US,D,20051130,000000,13.362,13.362,13.222,13.301,84371,0
ABR.US,D,20051201,000000,13.301,13.346,13.222,13.346,238721,0
