<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABT.US,D,19830406,000000,0.6798,0.6798,0.6684,0.6721,3889539,0
ABT.US,D,19830407,000000,0.6721,0.6798,0.6684,0.6798,5583706,0
ABT.US,D,19830408,000000,0.6798,0.6837,0.6721,0.6759,7335857,0
ABT.US,D,19830411,000000,0.6798,0.6837,0.6759,0.6798,3653433,0
ABT.US,D,19830412,000000,0.6837,0.6915,0.6798,0.6876,10057293,0
ABT.US,D,19830413,000000,0.6876,0.6955,0.6876,0.6955,5517424,0
ABT.US,D,19830414,000000,0.7109,0.7185,0.7109,0.7109,14104239,0
ABT.US,D,19830415,000000,0.7147,0.7185,0.7067,0.7185,5028649,0
ABT.US,D,19830418,000000,0.7185,0.7185,0.7109,0.7147,3504308,0
ABT.US,D,19830419,000000,0.7147,0.7185,0.7067,0.7109,11088701,0
ABT.US,D,19830420,000000,0.7147,0.7302,0.7147,0.7302,6192609,0
ABT.US,D,19830421,000000,0.7302,0.7417,0.7263,0.7302,6805657,0
ABT.US,D,19830422,000000,0.7338,0.7456,0.7338,0.7417,5244041,0
ABT.US,D,19830425,000000,0.7417,0.7456,0.7376,0.7417,5476008,0
ABT.US,D,19830426,000000,0.7456,0.7572,0.7338,0.7531,4046938,0
ABT.US,D,19830427,000000,0.7492,0.7611,0.7417,0.7456,9257848,0
ABT.US,D,19830428,000000,0.7456,0.7492,0.7417,0.7492,4175346,0
ABT.US,D,19830429,000000,0.7456,0.7531,0.7376,0.7417,5061784,0
ABT.US,D,19830502,000000,0.7302,0.7376,0.722,0.722,5339315,0
ABT.US,D,19830503,000000,0.7185,0.7302,0.7147,0.722,5546426,0
ABT.US,D,19830504,000000,0.722,0.7263,0.7147,0.7147,3384192,0
ABT.US,D,19830505,000000,0.7185,0.7263,0.7147,0.7185,19141165,0
ABT.US,D,19830506,000000,0.7185,0.7338,0.7185,0.7302,17467712,0
ABT.US,D,19830509,000000,0.7338,0.7338,0.7263,0.7263,6068341,0
ABT.US,D,19830510,000000,0.7263,0.7338,0.7263,0.7263,5115636,0
ABT.US,D,19830511,000000,0.722,0.7302,0.722,0.7263,3135650,0
ABT.US,D,19830512,000000,0.7263,0.7302,0.722,0.7263,3632719,0
ABT.US,D,19830513,000000,0.7263,0.7302,0.722,0.7263,3491888,0
ABT.US,D,19830516,000000,0.7185,0.7185,0.7109,0.7185,3040389,0
ABT.US,D,19830517,000000,0.7185,0.722,0.7147,0.722,4378324,0
ABT.US,D,19830518,000000,0.7263,0.7338,0.7263,0.7263,8425265,0
ABT.US,D,19830519,000000,0.7263,0.7263,0.7109,0.7147,4746978,0
ABT.US,D,19830520,000000,0.7109,0.7147,0.7028,0.7109,4713840,0
ABT.US,D,19830523,000000,0.6876,0.7067,0.6876,0.7028,5819812,0
ABT.US,D,19830524,000000,0.7028,0.7028,0.6955,0.7028,6296163,0
ABT.US,D,19830525,000000,0.7028,0.7028,0.6955,0.7028,8234722,0
ABT.US,D,19830526,000000,0.7028,0.7067,0.6915,0.7028,6060059,0
ABT.US,D,19830527,000000,0.6991,0.7109,0.6955,0.6991,4088364,0
ABT.US,D,19830531,000000,0.6915,0.6955,0.6876,0.6915,9386257,0
ABT.US,D,19830601,000000,0.6915,0.6955,0.6837,0.6837,6428713,0
ABT.US,D,19830602,000000,0.6876,0.6915,0.6721,0.6759,10479796,0
ABT.US,D,19830603,000000,0.6759,0.6876,0.6759,0.6837,3516742,0
ABT.US,D,19830606,000000,0.6876,0.6955,0.6837,0.6915,4958230,0
ABT.US,D,19830607,000000,0.6955,0.7185,0.6955,0.7067,8218157,0
ABT.US,D,19830608,000000,0.7028,0.7067,0.6991,0.6991,6018633,0
ABT.US,D,19830609,000000,0.6991,0.7067,0.6876,0.7067,9502244,0
ABT.US,D,19830610,000000,0.7028,0.7028,0.6837,0.6837,5691400,0
ABT.US,D,19830613,000000,0.6837,0.6837,0.6759,0.6759,10231271,0
ABT.US,D,19830614,000000,0.6837,0.6915,0.6759,0.6915,8222292,0
ABT.US,D,19830615,000000,0.6915,0.7185,0.6876,0.7185,13176385,0
ABT.US,D,19830616,000000,0.7456,0.7456,0.7376,0.7456,14833265,0
ABT.US,D,19830617,000000,0.7456,0.7611,0.7456,0.7611,5082494,0
ABT.US,D,19830620,000000,0.7647,0.7647,0.7531,0.7531,3860547,0
ABT.US,D,19830621,000000,0.7417,0.7456,0.7302,0.7376,12923704,0
ABT.US,D,19830622,000000,0.7417,0.7417,0.7376,0.7376,10301687,0
ABT.US,D,19830623,000000,0.7376,0.7376,0.722,0.7263,5637557,0
ABT.US,D,19830624,000000,0.7302,0.7801,0.7302,0.7725,15255773,0
ABT.US,D,19830627,000000,0.7725,0.7725,0.7572,0.7611,6432857,0
ABT.US,D,19830628,000000,0.7611,0.7647,0.7531,0.7611,5148767,0
ABT.US,D,19830629,000000,0.7611,0.7611,0.7492,0.7572,5915080,0
ABT.US,D,19830630,000000,0.7611,0.7841,0.7611,0.7686,3317909,0
ABT.US,D,19830701,000000,0.7686,0.7763,0.7647,0.7763,2497758,0
ABT.US,D,19830705,000000,0.7763,0.7763,0.7531,0.7647,4614428,0
ABT.US,D,19830706,000000,0.7647,0.7725,0.7611,0.7725,2013118,0
ABT.US,D,19830707,000000,0.7686,0.7725,0.7647,0.7647,3438041,0
ABT.US,D,19830708,000000,0.7686,0.7686,0.7531,0.7572,2576459,0
ABT.US,D,19830711,000000,0.7647,0.7686,0.7417,0.7417,4328618,0
ABT.US,D,19830712,000000,0.7417,0.7417,0.7302,0.7302,4465307,0
ABT.US,D,19830713,000000,0.722,0.722,0.7147,0.722,12550909,0
ABT.US,D,19830714,000000,0.7376,0.7492,0.7302,0.7456,7008626,0
ABT.US,D,19830715,000000,0.7647,0.7686,0.7417,0.7611,5426299,0
ABT.US,D,19830718,000000,0.7572,0.7611,0.7492,0.7572,3396613,0
ABT.US,D,19830719,000000,0.7611,0.7801,0.7611,0.7763,5413877,0
ABT.US,D,19830720,000000,0.7841,0.7881,0.7841,0.7881,6180193,0
ABT.US,D,19830721,000000,0.7917,0.7955,0.7881,0.7955,4995509,0
ABT.US,D,19830722,000000,0.7955,0.7955,0.7917,0.7955,3450465,0
ABT.US,D,19830725,000000,0.7955,0.7997,0.7917,0.7997,2597169,0
ABT.US,D,19830726,000000,0.8035,0.8149,0.7997,0.8149,6867792,0
ABT.US,D,19830727,000000,0.8111,0.8149,0.7917,0.7955,8387983,0
ABT.US,D,19830728,000000,0.7955,0.7955,0.7763,0.7763,5152917,0
ABT.US,D,19830729,000000,0.7725,0.7841,0.7647,0.7801,6279597,0
ABT.US,D,19830801,000000,0.7763,0.7763,0.7611,0.7686,6987912,0
ABT.US,D,19830802,000000,0.7725,0.7725,0.7611,0.7611,3624441,0
ABT.US,D,19830803,000000,0.7686,0.7686,0.7611,0.7647,7385570,0
ABT.US,D,19830804,000000,0.7647,0.7647,0.7531,0.7611,6822227,0
ABT.US,D,19830805,000000,0.7611,0.7686,0.7611,0.7686,5422158,0
ABT.US,D,19830808,000000,0.7647,0.7647,0.7531,0.7531,5811528,0
ABT.US,D,19830809,000000,0.7492,0.7531,0.7338,0.7456,12231960,0
ABT.US,D,19830810,000000,0.7456,0.7647,0.7456,0.7647,5811528,0
ABT.US,D,19830811,000000,0.7725,0.7725,0.7611,0.7647,3926821,0
ABT.US,D,19830812,000000,0.7611,0.7647,0.7492,0.7531,1963407,0
ABT.US,D,19830815,000000,0.7725,0.7725,0.7572,0.7686,3744556,0
ABT.US,D,19830816,000000,0.7647,0.7686,0.7492,0.7611,5119772,0
ABT.US,D,19830817,000000,0.7611,0.7686,0.7572,0.7647,6963059,0
ABT.US,D,19830818,000000,0.7647,0.7725,0.7647,0.7647,3338623,0
ABT.US,D,19830819,000000,0.7686,0.7686,0.7647,0.7686,1110114,0
ABT.US,D,19830822,000000,0.7725,0.7763,0.7647,0.7686,1777010,0
ABT.US,D,19830823,000000,0.7647,0.7725,0.7647,0.7725,2949253,0
ABT.US,D,19830824,000000,0.7686,0.7725,0.7686,0.7725,3727994,0
ABT.US,D,19830825,000000,0.7725,0.7763,0.7611,0.7611,6805657,0
ABT.US,D,19830826,000000,0.7572,0.7686,0.7492,0.7531,5741112,0
ABT.US,D,19830829,000000,0.7492,0.7531,0.7456,0.7492,2211943,0
ABT.US,D,19830830,000000,0.7492,0.7492,0.7417,0.7492,1685881,0
ABT.US,D,19830831,000000,0.7456,0.7611,0.7456,0.7531,2199513,0
ABT.US,D,19830901,000000,0.7531,0.7725,0.7531,0.7647,3918530,0
ABT.US,D,19830902,000000,0.7647,0.7725,0.7611,0.7686,2543319,0
ABT.US,D,19830906,000000,0.7725,0.7917,0.7725,0.7841,3694859,0
ABT.US,D,19830907,000000,0.7841,0.7881,0.7801,0.7841,6010349,0
ABT.US,D,19830908,000000,0.7841,0.7841,0.7725,0.7725,4684840,0
ABT.US,D,19830909,000000,0.7725,0.7801,0.7725,0.7801,1209527,0
ABT.US,D,19830912,000000,0.7881,0.7917,0.7611,0.7686,6263029,0
ABT.US,D,19830913,000000,0.7686,0.7686,0.7531,0.7572,3740420,0
ABT.US,D,19830914,000000,0.7572,0.7647,0.7531,0.7611,5053499,0
ABT.US,D,19830915,000000,0.7647,0.7647,0.7492,0.7492,3690719,0
ABT.US,D,19830916,000000,0.7531,0.7611,0.7492,0.7531,2497758,0
ABT.US,D,19830919,000000,0.7611,0.7763,0.7572,0.7763,7000342,0
ABT.US,D,19830920,000000,0.7801,0.7997,0.7801,0.7997,7828787,0
ABT.US,D,19830921,000000,0.7997,0.7997,0.7881,0.7917,2547463,0
ABT.US,D,19830922,000000,0.7917,0.8189,0.7881,0.8189,5289609,0
ABT.US,D,19830923,000000,0.8111,0.8149,0.8035,0.8111,5094920,0
ABT.US,D,19830926,000000,0.8189,0.8228,0.8111,0.8189,3023817,0
ABT.US,D,19830927,000000,0.8149,0.8149,0.8035,0.8072,2315503,0
ABT.US,D,19830928,000000,0.8111,0.8149,0.7997,0.8035,2721432,0
ABT.US,D,19830929,000000,0.8072,0.8072,0.7801,0.7801,3607869,0
ABT.US,D,19830930,000000,0.7841,0.7841,0.7725,0.7763,2477043,0
ABT.US,D,19831003,000000,0.7763,0.7955,0.7725,0.7881,4929235,0
ABT.US,D,19831004,000000,0.7955,0.8035,0.7917,0.7955,3239216,0
ABT.US,D,19831005,000000,0.7955,0.8072,0.7955,0.8035,2597169,0
ABT.US,D,19831006,000000,0.8072,0.8306,0.8035,0.8306,9245425,0
ABT.US,D,19831007,000000,0.8379,0.8462,0.8379,0.8419,10090428,0
ABT.US,D,19831010,000000,0.8419,0.8615,0.8419,0.8532,5575419,0
ABT.US,D,19831011,000000,0.8532,0.8532,0.8342,0.8342,7903341,0
ABT.US,D,19831012,000000,0.8306,0.8419,0.8306,0.8342,8429404,0
ABT.US,D,19831013,000000,0.8342,0.8342,0.8267,0.8267,2539174,0
ABT.US,D,19831014,000000,0.8306,0.8379,0.8267,0.8379,4162925,0
ABT.US,D,19831017,000000,0.8419,0.8502,0.8379,0.8462,8835340,0
ABT.US,D,19831018,000000,0.8462,0.8502,0.8342,0.8342,5405591,0
ABT.US,D,19831019,000000,0.8342,0.8342,0.8149,0.8306,9452530,0
ABT.US,D,19831020,000000,0.8306,0.8379,0.8267,0.8342,7580251,0
ABT.US,D,19831021,000000,0.8342,0.8342,0.8228,0.8267,4162925,0
ABT.US,D,19831024,000000,0.8267,0.8306,0.8189,0.8267,5277179,0
ABT.US,D,19831025,000000,0.8267,0.8379,0.8228,0.8306,4515014,0
ABT.US,D,19831026,000000,0.8342,0.8342,0.8267,0.8267,6163612,0
ABT.US,D,19831027,000000,0.8342,0.8342,0.8228,0.8228,4399028,0
ABT.US,D,19831028,000000,0.8189,0.8228,0.8189,0.8189,2729723,0
ABT.US,D,19831031,000000,0.8228,0.8228,0.8149,0.8189,3723847,0
ABT.US,D,19831101,000000,0.8228,0.8267,0.8149,0.8228,5923367,0
ABT.US,D,19831102,000000,0.8228,0.8306,0.8149,0.8267,6026920,0
ABT.US,D,19831103,000000,0.8149,0.8189,0.8072,0.8072,12563334,0
ABT.US,D,19831104,000000,0.8072,0.8072,0.7955,0.7997,5484289,0
ABT.US,D,19831107,000000,0.7997,0.7997,0.7881,0.7917,8996885,0
ABT.US,D,19831108,000000,0.7917,0.8035,0.7881,0.7997,6333447,0
ABT.US,D,19831109,000000,0.8035,0.8111,0.7917,0.7997,11552634,0
ABT.US,D,19831110,000000,0.7997,0.8035,0.7841,0.7917,11726605,0
ABT.US,D,19831111,000000,0.7917,0.7997,0.7881,0.7955,4481876,0
ABT.US,D,19831114,000000,0.7955,0.8072,0.7917,0.7997,6412151,0
ABT.US,D,19831115,000000,0.8035,0.8149,0.7997,0.8072,4937522,0
ABT.US,D,19831116,000000,0.8149,0.8149,0.7881,0.7955,13764578,0
ABT.US,D,19831117,000000,0.7917,0.7917,0.7725,0.7725,15450449,0
ABT.US,D,19831118,000000,0.7725,0.7725,0.7531,0.7572,15529161,0
ABT.US,D,19831121,000000,0.7531,0.7725,0.7531,0.7572,8798060,0
